ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,OPEN_DATE,CURRENT_BALANCE
ACCT100000134,CUST0037850,SAVINGS,ACTIVE,2022-03-15,30222.3
ACCT100000135,CUST0031550,NRE,ACTIVE,2021-07-01,30638.36
ACCT100000136,CUST0020157,CURRENT,BLOCKED,2021-01-05,47436.49
ACCT100000137,CUST0013907,SALARY,BLOCKED,2015-09-10,6056.66
ACCT100000138,CUST0006388,SALARY,ACTIVE,2020-12-07,2509.11
ACCT100000139,CUST0011450,NRO,ACTIVE,2015-02-05,22442.47
ACCT100000140,CUST0005964,Nro,ACTIVE,2017-12-29,8271.68
ACCT100000141,CUST0035088,SALARY,ACTIVE,2016-01-16,20117.56
ACCT100000142,CUST0054321,NRO,ACTIVE,2022-01-06,7416.16
ACCT100000143,CUST0021875,SALARY,ACTIVE,2018-05-31,5568.89
ACCT100000144,CUST0047661,CURRENT,ACTIVE,2018-06-13,315690.89
ACCT100000145,CUST0030214,SALARY,ACTIVE,2016-01-18,23430.78
ACCT100000146,CUST0000528,NRE,ACTIVE,2017-06-24,465357.97
ACCT100000147,CUST0056438,NRO,ACTIVE,2016-10-17,64944.61
ACCT100000148,CUST0000456,NRE,ACTIVE,2019-11-29,10229.35
ACCT100000149,CUST0036343,SAVINGS,ACTIVE,2016-07-10,5668.18
ACCT100000150,CUST0038023,nro,ACTIVE,2022-08-07,2624.67
ACCT100000151,CUST0021062,SALARY,ACTIVE,2015-02-06,93373.11
ACCT100000152,CUST0026109,NRO,ACTIVE,2021-06-11,70157.15
ACCT100000153,CUST0009377,NRO,ACTIVE,2015-01-31,6697.62
ACCT100000154,CUST0008326,NRO,ACTIVE,2016-09-15,10219.97
ACCT100000155,CUST0054179,SAVINGS,ACTIVE,2019-09-27,19601.84
ACCT100000156,CUST0025947,NRO,ACTIVE,2015-07-17,109845.8
ACCT100000157,CUST0042398,NRO,ACTIVE,2018-11-30,5650.34
ACCT100000158,CUST0024596,SAVINGS,ACTIVE,2021-06-24,81337.07
ACCT100000159,CUST0032915,NRO,ACTIVE,2019-06-09,258142.29
ACCT100000160,CUST0043679,NRO,DORMANT,2017-11-08,18113.56
ACCT100000161,CUST0009810,SAVINGS,ACTIVE,2020-12-15,4864.76
ACCT100000162,CUST0066166,CURRENT,ACTIVE,2017-08-22,71315.61
ACCT100000163,CUST0051553,SAVINGS,ACTIVE,2022-09-10,11631.56
ACCT100000164,CUST0000346,Nro,ACTIVE,2019-10-11,10525.41
ACCT100000165,CUST0071534,NRO,ACTIVE,2017-02-11,190345.5
ACCT100000166,CUST0018772,NRE,ACTIVE,2020-09-22,7144.92
ACCT100000167,CUST0054757,NRE,ACTIVE,2017-01-13,85019.07
ACCT100000168,CUST0044585,Nro,DORMANT,2021-07-15,23243.46
ACCT100000169,CUST0048186,nre,ACTIVE,2015-09-19,68869.54
ACCT100000170,CUST0001255,Savings,ACTIVE,2019-05-20,87833.3
ACCT100000171,CUST0046936,NRO,ACTIVE,2015-07-25,11279.26
ACCT100000172,CUST0049354,NRE,ACTIVE,2017-01-13,16949.96
ACCT100000173,CUST0059819,NRE,ACTIVE,2015-11-25,59377.99
ACCT100000174,CUST0073931,NRE,ACTIVE,2020-07-01,7005.25
ACCT100000175,CUST0007181,NRO,ACTIVE,2021-01-05,5799.81
ACCT100000176,CUST0067110,CURRENT,ACTIVE,2018-07-15,13089.32
ACCT100000177,CUST0028308, NRO ,ACTIVE,2020-12-01,32352.03
ACCT100000178,CUST0069379,NRE,ACTIVE,2016-09-05,16452.51
ACCT100000179,CUST0049474,CURRENT,ACTIVE,2016-10-12,5430.94
ACCT100000180,CUST0013348,CURRENT,ACTIVE,2022-09-21,116643.51
ACCT100000181,CUST0028696,NRE,ACTIVE,2016-01-05,1044453.04
ACCT100000182,CUST0004801,NRE,ACTIVE,2019-02-04,4424.91
ACCT100000183,CUST0057717,NRE,ACTIVE,2017-04-01,13237.7
ACCT100000184,CUST0067296,NRO,DORMANT,2022-07-06,205212.07
ACCT100000185,CUST0066079,Nro,ACTIVE,2021-06-22,3778.31
ACCT100000186,CUST0061745,SAVINGS,ACTIVE,2018-08-29,59320.79
ACCT100000187,CUST0001495,SALARY,ACTIVE,2019-04-13,165157.14
ACCT100000188,CUST0072304,SALARY,ACTIVE,2020-01-17,107275.65
ACCT100000189,CUST0030746,SAVINGS,CLOSED,2022-01-29,51877.91
ACCT100000190,CUST0017106,SAVINGS,ACTIVE,2020-01-11,130526.39
ACCT100000191,CUST0057684,CURRENT,ACTIVE,2016-05-14,32406.01
ACCT100000192,CUST0037129, SALARY ,ACTIVE,2021-11-05,708.65
ACCT100000193,CUST0046156,CURRENT,ACTIVE,2021-10-08,181101.78
ACCT100000194,CUST0047483,nro,ACTIVE,2017-04-12,8128.74
ACCT100000195,CUST0050205,SAVINGS,ACTIVE,2021-12-14,40025.46
ACCT100000196,CUST0010535,CURRENT,ACTIVE,2016-10-03,399.97
ACCT100000197,CUST0059624,CURRENT,ACTIVE,2021-04-26,14043.0
ACCT100000198,CUST0002777,NRE,ACTIVE,2021-04-16,106408.96
ACCT100000199,CUST0001431,NRO,ACTIVE,2015-05-01,5557.05
ACCT100000200,CUST0047967,NRO,ACTIVE,2017-05-26,6243.32
ACCT100000201,CUST0060572,NRE,ACTIVE,2016-07-25,72576.75
ACCT100000202,CUST0009788,NRO,ACTIVE,2020-11-16,19345.73
ACCT100000203,CUST0028005,NRO,ACTIVE,2019-10-04,110859.05
ACCT100000204,CUST0018004,SALARY,DORMANT,2016-10-23,4580.03
ACCT100000205,CUST0007391,SAVINGS,,2015-12-05,128075.54
ACCT100000206,CUST0068608,SAVINGS,ACTIVE,2017-12-25,6887.96
ACCT100000207,CUST0039746,SAVINGS,ACTIVE,2020-05-09,5002.89
ACCT100000208,CUST0012821,SAVINGS,ACTIVE,2016-09-06,77646.4
ACCT100000209,CUST0037395,SALARY,DORMANT,2014-12-29,14537.22
ACCT100000210,CUST0059266,CURRENT,ACTIVE,2020-06-22,14253.41
ACCT100000211,CUST0015121,SALARY,ACTIVE,2019-03-27,5484.42
ACCT100000212,CUST0030272,SAVINGS,ACTIVE,2018-04-03,29177.43
ACCT100000213,CUST0033100,SAVINGS,ACTIVE,2015-03-13,554421.82
ACCT100000214,CUST0014268,SAVINGS,ACTIVE,2015-06-11,4344.76
ACCT100000215,CUST0069296, CURRENT ,ACTIVE,2018-07-17,12659.37
ACCT100000216,CUST0064210,SAVINGS,ACTIVE,2017-10-25,17771.64
ACCT100000217,CUST0000931,SAVINGS,ACTIVE,2016-12-04,26913.66
ACCT100000218,CUST0007266,SAVINGS,ACTIVE,2017-08-31,28548.23
ACCT100000219,CUST0054354,NRE,ACTIVE,2021-05-16,110345.6
ACCT100000220,CUST0006537,SALARY,ACTIVE,2019-12-13,24673.37
ACCT100000221,CUST0047324,CURRENT,ACTIVE,2020-03-17,5393.81
ACCT100000222,CUST0007805,SALARY,ACTIVE,2022-01-04,8110.98
ACCT100000223,CUST0013756,Nro,DORMANT,2018-12-09,44502.71
ACCT100000224,CUST0033953,SAVINGS,ACTIVE,2022-06-29,177417.66
ACCT100000225,CUST0071367,current,ACTIVE,2016-02-18,47744.96
ACCT100000226,CUST0035622,NRO,DORMANT,2016-07-08,4942.18
ACCT100000227,CUST0074298,CURRENT,DORMANT,2020-02-24,41932.34
ACCT100000228,CUST0010634,NRO,DORMANT,2016-02-17,10224.15
ACCT100000229,CUST0054175, CURRENT ,BLOCKED,2020-04-04,60363.02
ACCT100000230,CUST0032862,CURRENT,ACTIVE,2022-08-25,50580.64
ACCT100000231,CUST0045371,NRO,DORMANT,2021-12-07,14793.48
ACCT100000232,CUST0017656,NRE,ACTIVE,2014-10-16,25696.29
ACCT100000233,CUST0018390,SALARY,ACTIVE,2015-08-27,37265.5
ACCT100000234,CUST0010422,NRE,DORMANT,2022-01-25,23468.06
ACCT100000235,CUST0028687, CURRENT ,ACTIVE,2020-02-29,36757.75
ACCT100000236,CUST0041792,NRO,ACTIVE,2021-12-21,9916.59
ACCT100000237,CUST0047437,SALARY,ACTIVE,2022-05-18,26583.33
ACCT100000238,CUST0040530,CURRENT,ACTIVE,2019-01-09,14560.33
ACCT100000239,CUST0064841,NRO,BLOCKED,2021-12-07,8758.27
ACCT100000240,CUST0008662,NRO,ACTIVE,2016-12-18,28827.18
ACCT100000241,CUST0062916,CURRENT,ACTIVE,2020-01-23,13249.63
ACCT100000242,CUST0018085,SAVINGS,DORMANT,2019-08-10,45730.33
ACCT100000243,CUST0068506, NRO ,ACTIVE,2015-03-24,3359.71
ACCT100000244,CUST0022252,SALARY,ACTIVE,2017-04-14,23140.3
ACCT100000245,CUST0060460,NRE,ACTIVE,2020-04-29,62420.73
ACCT100000246,CUST0019387,NRE,ACTIVE,2016-09-06,109535.27
ACCT100000247,CUST0066902,SAVINGS,ACTIVE,2021-03-31,248260.76
ACCT100000248,CUST0002240,CURRENT,ACTIVE,2016-04-29,75071.86
ACCT100000249,CUST0049745, SALARY ,ACTIVE,2016-04-07,4419.98
ACCT100000250,CUST0044556,SALARY,DORMANT,2017-06-05,318925.25
ACCT100000251,CUST0011729,SALARY,ACTIVE,2020-01-02,48201.32
ACCT100000252,CUST0052375,NRE,ACTIVE,2017-06-04,5525.13
ACCT100000253,CUST0035516,NRE,ACTIVE,2018-03-01,244226.45
ACCT100000254,CUST0029174,SALARY,ACTIVE,2020-08-05,37204.48
ACCT100000255,CUST0031523,SALARY,ACTIVE,2021-09-02,3939.82
ACCT100000256,CUST0059639,SAVINGS,ACTIVE,2021-08-22,16150.3
ACCT100000257,CUST0070996,SALARY,ACTIVE,2015-05-04,20168.05
ACCT100000258,CUST0046281,SALARY,DORMANT,2017-11-23,15071.35
ACCT100000259,CUST0060298,NRO,ACTIVE,2018-10-03,51535.18
ACCT100000260,CUST0044052,SALARY,ACTIVE,2017-12-24,13592.18
ACCT100000261,CUST0055054,NRO,ACTIVE,2018-02-13,41152.62
ACCT100000262,CUST0068648,NRO,ACTIVE,2017-06-29,751383.48
ACCT100000263,CUST0035980,CURRENT,ACTIVE,2022-02-14,16526.57
ACCT100000264,CUST0009866,NRE,BLOCKED,2015-03-06,69104.76
ACCT100000265,CUST0042046,savings,ACTIVE,2015-05-27,18011.2
ACCT100000266,CUST0058401,SAVINGS,DORMANT,2015-06-26,11895.71
ACCT100000267,CUST0042472,SAVINGS,ACTIVE,2021-08-16,29921.38
ACCT100000268,CUST0054851,NRE,ACTIVE,2022-01-18,25675.5
ACCT100000269,CUST0015227,NRO,ACTIVE,2018-03-19,10748.74
ACCT100000270,CUST0045284,CURRENT,BLOCKED,2018-12-04,42319.41
ACCT100000271,CUST0047571,CURRENT,ACTIVE,2021-07-03,15243.39
ACCT100000272,CUST0021758,Current,ACTIVE,2019-12-10,10049.83
ACCT100000273,CUST0050954,CURRENT,DORMANT,2020-07-31,6708.52
ACCT100000274,CUST0034168,SAVINGS,ACTIVE,2020-08-05,16589.23
ACCT100000275,CUST0011657,CURRENT,ACTIVE,2016-09-18,29142.08
ACCT100000276,CUST0009858,CURRENT,ACTIVE,2017-09-12,90324.56
ACCT100000277,CUST0050277,SALARY,ACTIVE,2021-02-26,14393.3
ACCT100000278,CUST0061635,CURRENT,ACTIVE,2017-12-30,7843.44
ACCT100000279,CUST0009369,NRE,ACTIVE,2020-09-02,6907.45
ACCT100000280,CUST0021359,SALARY,ACTIVE,2019-08-10,30775.41
ACCT100000281,CUST0048858,Current,DORMANT,2017-07-17,2151.01
ACCT100000282,CUST0005123,NRO,ACTIVE,2019-12-05,33941.13
ACCT100000283,CUST0039959,NRE,CLOSED,2021-11-19,2664.11
ACCT100000284,CUST0063152,SAVINGS,ACTIVE,2017-10-04,3175.51
ACCT100000285,CUST0027530,NRO,ACTIVE,2016-07-22,7296.31
ACCT100000286,CUST0054876,CURRENT,ACTIVE,2021-08-18,4284.84
ACCT100000287,CUST0052578,NRE,ACTIVE,2022-02-28,4890.11
ACCT100000288,CUST0041386,NRO,ACTIVE,2015-06-01,52627.2
ACCT100000289,CUST0030847,NRO,DORMANT,2016-08-31,1929.15
ACCT100000290,CUST0030800,nro,ACTIVE,2022-07-25,11843.79
ACCT100000291,CUST0014160,NRE,ACTIVE,2021-09-06,27346.9
ACCT100000292,CUST0057211,CURRENT,DORMANT,2020-01-29,7242.72
ACCT100000293,CUST0050678,CURRENT,ACTIVE,2020-11-11,128959.4
ACCT100000294,CUST0066728,NRO,BLOCKED,2018-03-04,72767.69
ACCT100000295,CUST0067664,NRO,ACTIVE,2017-04-13,9067.05
ACCT100000296,CUST0055093,NRO,ACTIVE,2017-05-01,88614.77
ACCT100000297,CUST0042762,NRE,ACTIVE,2020-05-01,25951.0
ACCT100000298,CUST0038448,NRE,ACTIVE,2018-03-26,9769.44
ACCT100000299,CUST0048593,Current,ACTIVE,2022-01-26,11624.4
ACCT100000300,CUST0018333,NRE,ACTIVE,2020-11-18,14796.95
ACCT100000301,CUST0042873,SALARY,BLOCKED,2018-06-24,24501.63
ACCT100000302,CUST0047477,SALARY,ACTIVE,2022-09-15,23679.77
ACCT100000303,CUST0074130,SAVINGS,,2018-05-08,42147.38
ACCT100000304,CUST0016929,CURRENT,ACTIVE,2019-10-03,30839.02
ACCT100000305,CUST0027756,SALARY,ACTIVE,2017-08-17,195499.66
ACCT100000306,CUST0024021,SALARY,ACTIVE,2019-07-13,5829.72
ACCT100000307,CUST0002589,SALARY,ACTIVE,2017-12-26,15207.31
ACCT100000308,CUST0040326,Nre,ACTIVE,2014-12-01,12760.42
ACCT100000309,CUST0046706,SAVINGS,BLOCKED,2016-06-30,11426.88
ACCT100000310,CUST0043555,NRO,ACTIVE,2015-04-22,35414.55
ACCT100000311,CUST0040407,SAVINGS,ACTIVE,2017-04-09,44436.66
ACCT100000312,CUST0026349,current,DORMANT,2020-12-28,76190.54
ACCT100000313,CUST0063389, NRO ,ACTIVE,2020-08-07,24246.27
ACCT100000314,CUST0007496,SAVINGS,ACTIVE,2019-05-27,100452.17
ACCT100000315,CUST0045993,CURRENT,ACTIVE,2020-04-15,273462.11
ACCT100000316,CUST0069284,NRO,DORMANT,2022-01-27,8871.87
ACCT100000317,CUST0037583,SAVINGS,ACTIVE,2016-03-26,130403.22
ACCT100000318,CUST0057616,NRE,ACTIVE,2016-08-25,31395.32
ACCT100000319,CUST0039283,SALARY,ACTIVE,2022-01-17,36967.57
ACCT100000320,CUST0071532,Nro,CLOSED,2019-03-19,267620.7
ACCT100000321,CUST0051447,NRE,ACTIVE,2022-02-01,97057.6
ACCT100000322,CUST0038028,NRE,ACTIVE,2022-03-02,116414.05
ACCT100000323,CUST0029869,SALARY,ACTIVE,2016-03-06,2465.2
ACCT100000324,CUST0074612,CURRENT,ACTIVE,2017-05-20,37934.57
ACCT100000325,CUST0001758, NRO ,ACTIVE,2017-02-02,37933.86
ACCT100000326,CUST0052342,NRO,ACTIVE,2016-10-09,137718.68
ACCT100000327,CUST0011314,SAVINGS,ACTIVE,2020-12-18,28028.22
ACCT100000328,CUST0032935,CURRENT,DORMANT,2022-02-03,3045.86
ACCT100000329,CUST0038877,NRO,ACTIVE,2017-01-12,5442.01
ACCT100000330,CUST0002955,SAVINGS,ACTIVE,2021-10-30,1328.5
ACCT100000331,CUST0000074,SAVINGS,ACTIVE,2020-08-23,83695.78
ACCT100000332,CUST0005288,SAVINGS,ACTIVE,2021-12-17,1317.95
ACCT100000333,CUST0035748,NRE,ACTIVE,2016-01-21,40042.14
ACCT100000334,CUST0016006,NRE,ACTIVE,2021-12-19,3274.73
ACCT100000335,CUST0034579,SAVINGS,ACTIVE,2015-02-27,56511.86
ACCT100000336,CUST0004309,Nro,ACTIVE,2020-02-03,37081.67
ACCT100000337,CUST0045188,nro,ACTIVE,2018-03-15,34489.28
ACCT100000338,CUST0005478,SALARY,ACTIVE,2021-05-20,13245.72
ACCT100000339,CUST0019821,SAVINGS,ACTIVE,2016-05-04,1918.93
ACCT100000340,CUST0022150,NRO,ACTIVE,2019-12-20,45489.99
ACCT100000341,CUST0048358,SAVINGS,ACTIVE,2016-03-27,144902.63
ACCT100000342,CUST0005502,SALARY,ACTIVE,2016-01-23,37495.6
ACCT100000343,CUST0012970,NRO,ACTIVE,2022-04-14,57943.88
ACCT100000344,CUST0057895,SAVINGS,DORMANT,2015-10-14,12939.07
ACCT100000345,CUST0057610,CURRENT,ACTIVE,2021-10-23,4974.9
ACCT100000346,CUST0008484,NRO,ACTIVE,2018-01-10,22329.69
ACCT100000347,CUST0012899,SAVINGS,ACTIVE,2015-05-11,99533.04
ACCT100000348,CUST0019663,SAVINGS,ACTIVE,2016-03-08,58263.04
ACCT100000349,CUST0061989,CURRENT,ACTIVE,2016-05-22,140661.01
ACCT100000350,CUST0072706,SALARY,ACTIVE,2016-11-12,603413.37
ACCT100000351,CUST0064383,NRE,ACTIVE,2019-03-08,319657.27
ACCT100000352,CUST0017741,NRO,ACTIVE,2019-10-21,4482.96
ACCT100000353,CUST0026812,CURRENT,ACTIVE,2020-06-09,3661.35
ACCT100000354,CUST0042018,CURRENT,ACTIVE,2015-03-21,83075.97
ACCT100000355,CUST0067917,SAVINGS,DORMANT,2019-03-17,24226.48
ACCT100000356,CUST0027189,NRO,ACTIVE,2020-01-20,23154.17
