ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,OPEN_DATE,CURRENT_BALANCE,CURRENCY,NUM_SIGNATORIES
ACCT100000029,CUST0002386,SAVINGS,ACTIVE,2018-10-22,76612.98,INR,1
ACCT100000030,CUST0007237,CURRENT,ACTIVE,2020-05-04,3081.64,GBP,1
ACCT100000031,CUST0004036,NRE,ACTIVE,2014-10-09,88630.44,AED,1
ACCT100000032,CUST0006435,NRE,ACTIVE,2017-02-18,111827.89,USD,1
ACCT100000033,CUST0001814,SAVINGS,ACTIVE,2017-10-22,21226.15,INR,2
ACCT100000034,CUST0006597, CURRENT ,ACTIVE,2016-04-22,188301.25,AED,1
ACCT100000035,CUST0002659,NRO,DORMANT,2017-02-19,132720.62,INR,1
ACCT100000036,CUST0003182,NRE,BLOCKED,2021-11-11,117129.42,INR,1
ACCT100000037,CUST0002861,SALARY,ACTIVE,2016-09-17,39796.16,INR,2
ACCT100000038,CUST0000646,SAVINGS,ACTIVE,2019-08-03,24858.83,INR,1
ACCT100000039,CUST0006093,CURRENT,CLOSED,2012-04-15,59128.74,USD,1
ACCT100000040,CUST0001604,SALARY,ACTIVE,2017-05-15,125565.52,INR,1
ACCT100000041,CUST0004599,NRE,ACTIVE,2013-06-19,694464.94,INR,2
ACCT100000042,CUST0001377,SALARY,ACTIVE,2015-08-05,609108.6,INR,1
ACCT100000043,CUST0002035,CURRENT,ACTIVE,2015-11-15,2599.23,INR,1
ACCT100000044,CUST0001893,SALARY,ACTIVE,2018-03-29,79214.19,INR,1
ACCT100000045,CUST0002221,SAVINGS,ACTIVE,2021-07-14,150686.73,INR,2
ACCT100000046,CUST0000226,SALARY,ACTIVE,2020-03-08,4085.13,INR,2
ACCT100000047,CUST0004169,NRE,ACTIVE,2013-09-19,136374.07,AED,1
ACCT100000048,CUST0004970,SAVINGS,ACTIVE,2019-06-17,18479.9,USD,1
ACCT100000049,CUST0003279,CURRENT,ACTIVE,2020-07-06,24839.52,INR,1
ACCT100000050,CUST0000305,NRE,ACTIVE,2021-10-23,97385.89,USD,1
ACCT100000051,CUST0003764,SALARY,DORMANT,2019-12-06,1618949.14,GBP,1
ACCT100000052,CUST0002900,current,ACTIVE,2013-01-14,48853.69,INR,1
ACCT100000053,CUST0004274,SAVINGS,ACTIVE,2014-01-25,39324.59,GBP,3
ACCT100000054,CUST0003258,SALARY,ACTIVE,2012-04-04,19929.81,GBP,1
ACCT100000055,CUST0006031,SALARY,ACTIVE,2016-03-30,13072.79,INR,1
ACCT100000056,CUST0002033,SALARY,ACTIVE,2013-10-11,2105.04,SGD,1
ACCT100000057,CUST0006657,SAVINGS,ACTIVE,2014-06-13,69000.24,USD,1
ACCT100000058,CUST0003018,SALARY,ACTIVE,2021-02-10,10583.9,INR,1
ACCT100000059,CUST0005578,SAVINGS,ACTIVE,2019-04-29,1571.06,AED,2
ACCT100000060,CUST0003397,NRE,ACTIVE,2015-05-31,206860.18,INR,2
ACCT100000061,CUST0006715,NRO,ACTIVE,2019-12-02,154568.95,INR,1
ACCT100000062,CUST0003242,current,ACTIVE,2014-01-31,277574.79,INR,1
ACCT100000063,CUST0007377,NRE,ACTIVE,2019-03-02,21487.85,USD,1
ACCT100000064,CUST0002189,CURRENT,ACTIVE,2016-08-03,40920.23,INR,1
ACCT100000065,CUST0004718,SAVINGS,ACTIVE,2014-08-21,5845.71,INR,2
ACCT100000066,CUST0000836,CURRENT,ACTIVE,2012-01-18,13967.06,INR,3
ACCT100000067,CUST0003444,SALARY,ACTIVE,2017-05-19,15924.43,INR,1
ACCT100000068,CUST0003860,NRE,ACTIVE,2019-01-23,83252.28,INR,2
ACCT100000069,CUST0007973,SALARY,ACTIVE,2021-02-06,24192.54,INR,2
ACCT100000070,CUST0006223,NRO,ACTIVE,2016-01-19,25519.21,INR,2
ACCT100000071,CUST0007218,TRUST,ACTIVE,2013-09-11,262441.43,GBP,2
ACCT100000072,CUST0002723,CURRENT,ACTIVE,2019-11-01,74858.63,INR,1
ACCT100000073,CUST0006167,SALARY,ACTIVE,2018-11-12,21284.25,INR,1
ACCT100000074,CUST0002399,CURRENT,ACTIVE,2021-10-09,64519.36,INR,1
ACCT100000075,CUST0003151,nro,ACTIVE,2021-10-01,91425.58,INR,1
ACCT100000076,CUST0002191, SAVINGS ,DORMANT,2012-12-10,6822.21,SGD,3
ACCT100000077,CUST0003100,SALARY,ACTIVE,2012-06-07,123040.34,INR,2
ACCT100000078,CUST0007530,CURRENT,ACTIVE,2017-12-11,67142.5,INR,1
ACCT100000079,CUST0000988, SAVINGS ,ACTIVE,2019-08-06,2960.16,INR,1
ACCT100000080,CUST0004364,SALARY,ACTIVE,2013-11-17,597.0,AED,2
ACCT100000081,CUST0001900,CURRENT,ACTIVE,2012-07-26,293237.17,USD,1
ACCT100000082,CUST0000729,CURRENT,ACTIVE,2019-10-08,7047.17,INR,2
ACCT100000083,CUST0001150,SALARY,ACTIVE,2016-04-21,15017.0,AED,1
ACCT100000084,CUST0005408,SAVINGS,ACTIVE,2021-07-23,2706.24,AED,1
ACCT100000085,CUST0001381,SAVINGS,ACTIVE,2017-06-09,20129.55,INR,1
ACCT100000086,CUST0006917,CURRENT,ACTIVE,2014-07-21,77773.5,INR,1
ACCT100000087,CUST0007737,SALARY,DORMANT,2018-10-17,37762.8,USD,1
ACCT100000088,CUST0006431,SHELL,ACTIVE,2019-07-19,566033.9,INR,1
ACCT100000089,CUST0002975,CURRENT,ACTIVE,2013-11-15,42699.57,USD,1
ACCT100000090,CUST0000744,SALARY,BLOCKED,2017-11-22,2290.82,USD,1
ACCT100000091,CUST0004892,CURRENT,ACTIVE,2017-09-13,33229.49,INR,1
ACCT100000092,CUST0006109,NRO,ACTIVE,2013-02-17,103132.85,USD,1
ACCT100000093,CUST0005416,TRUST,DORMANT,2021-06-05,345364.72,INR,1
ACCT100000094,CUST0000309,SAVINGS,ACTIVE,2018-03-28,12614.86,USD,3
ACCT100000095,CUST0001820,SALARY,ACTIVE,2020-01-18,2267.58,USD,1
ACCT100000096,CUST0007716,NRO,ACTIVE,2020-06-30,13946.46,GBP,2
ACCT100000097,CUST0005453,CURRENT,ACTIVE,2013-06-27,467294.83,INR,1
ACCT100000098,CUST0004211,CURRENT,ACTIVE,2017-11-13,117735.41,INR,2
ACCT100000099,CUST0005498,NRO,ACTIVE,2014-02-20,3350843.9,INR,1
ACCT100000100,CUST0007786,savings,ACTIVE,2013-05-26,29635.72,INR,1
ACCT100000101,CUST0003492,SAVINGS,ACTIVE,2020-07-28,44076.47,GBP,1
ACCT100000102,CUST0005747,NRO,CLOSED,2020-02-08,25042.34,GBP,2
ACCT100000103,CUST0000118,SALARY,ACTIVE,2015-06-01,102854.63,USD,1
ACCT100000104,CUST0004563,SAVINGS,ACTIVE,2014-04-28,1016.95,INR,1
ACCT100000105,CUST0007731,SALARY,BLOCKED,2013-12-06,29925.59,USD,3
ACCT100000106,CUST0000465,NRO,ACTIVE,2017-08-24,115083.54,SGD,2
ACCT100000107,CUST0004649,SAVINGS,ACTIVE,2018-08-24,144838.19,INR,1
ACCT100000108,CUST0001333,SAVINGS,ACTIVE,2017-08-02,13340.72,INR,1
ACCT100000109,CUST0007408,SALARY,ACTIVE,2015-10-15,12036.97,USD,1
ACCT100000110,CUST0005435,SAVINGS,ACTIVE,2017-12-11,895.12,USD,2
ACCT100000111,CUST0006506,NRO,ACTIVE,2014-03-23,5696.22,USD,1
ACCT100000112,CUST0001983,SALARY,ACTIVE,2015-11-24,19773.95,INR,1
ACCT100000113,CUST0000078,SALARY,BLOCKED,2018-05-10,62706.41,INR,3
ACCT100000114,CUST0006735,SAVINGS,ACTIVE,2013-08-12,25070.09,INR,1
ACCT100000115,CUST0004529,CURRENT,BLOCKED,2013-05-27,39764.79,INR,1
ACCT100000116,CUST0006332,SAVINGS,DORMANT,2018-03-12,25764.63,AED,2
ACCT100000117,CUST0003743,NRE,CLOSED,2014-01-06,218561.37,INR,1
ACCT100000118,CUST0003028,CURRENT,ACTIVE,2018-09-16,131523.53,INR,3
ACCT100000119,CUST0002051,CURRENT,ACTIVE,2014-09-09,11499.95,INR,3
ACCT100000120,CUST0004391,SALARY,ACTIVE,2017-06-21,16680.58,INR,1
ACCT100000121,CUST0005542,SALARY,ACTIVE,2021-06-11,2491.34,INR,1
ACCT100000122,CUST0003240,NRE,ACTIVE,2016-01-23,849434.53,INR,1
ACCT100000123,CUST0001950,SAVINGS,DORMANT,2020-03-25,3142.96,INR,1
ACCT100000124,CUST0003016,SAVINGS,ACTIVE,2014-01-21,11588.64,INR,1
ACCT100000125,CUST0005144,SAVINGS,ACTIVE,2016-12-22,39764.49,INR,1
ACCT100000126,CUST0002965,NRO,DORMANT,2015-12-08,13438.3,USD,1
ACCT100000127,CUST0002368,CURRENT,ACTIVE,2015-03-31,14353.95,INR,1
ACCT100000128,CUST0002995,SAVINGS,ACTIVE,2014-12-09,463865.75,INR,3
ACCT100000129,CUST0002076,CURRENT,ACTIVE,2014-11-24,199677.88,AED,2
ACCT100000130,CUST0004788,SAVINGS,ACTIVE,2020-02-23,26815.56,INR,2
ACCT100000131,CUST0002941, NRE ,ACTIVE,2018-01-09,427309.42,INR,1
ACCT100000132,CUST0002647,SAVINGS,ACTIVE,2018-09-19,1259.24,INR,1
ACCT100000133,CUST0002440,CURRENT,ACTIVE,2012-08-14,125001.76,AED,2
ACCT100000134,CUST0001609,TRUST,DORMANT,2018-06-03,6092694.53,INR,1
ACCT100000135,CUST0000677,SAVINGS,ACTIVE,2015-02-26,7738.3,USD,2
ACCT100000136,CUST0007994, SAVINGS ,ACTIVE,2021-03-29,250238.82,INR,1
ACCT100000137,CUST0000718,SALARY,DORMANT,2019-06-14,5677.05,GBP,2
ACCT100000138,CUST0000820,SHELL,ACTIVE,2012-07-11,778985.76,AED,1
ACCT100000139,CUST0002794,NRO,ACTIVE,2018-06-27,13063.31,INR,1
ACCT100000140,CUST0003988,SALARY,ACTIVE,2015-10-27,21846.31,INR,1
ACCT100000141,CUST0007135,NRE,ACTIVE,2017-06-12,203004.6,INR,1
ACCT100000142,CUST0006668,CURRENT,DORMANT,2018-08-13,34878.56,INR,2
ACCT100000143,CUST0005587,CURRENT,ACTIVE,2014-01-08,13387.4,SGD,3
ACCT100000144,CUST0002532,CURRENT,ACTIVE,2015-03-07,68271.04,USD,2
ACCT100000145,CUST0004696,CURRENT,DORMANT,2012-05-12,18992.67,INR,1
ACCT100000146,CUST0003976,SALARY,ACTIVE,2020-09-14,59737.18,INR,1
ACCT100000147,CUST0005718,NRE,DORMANT,2017-01-30,239501.88,INR,3
ACCT100000148,CUST0007452,SALARY,ACTIVE,2018-07-31,5483.37,SGD,1
ACCT100000149,CUST0007400,NRO,ACTIVE,2018-09-26,436770.86,SGD,2
ACCT100000150,CUST0001244,salary,CLOSED,2016-01-09,5953.71,GBP,3
ACCT100000151,CUST0001428,NRE,ACTIVE,2013-04-26,698156.94,GBP,1
ACCT100000152,CUST0005795,SALARY,DORMANT,2015-01-12,13558.66,INR,1
ACCT100000153,CUST0006551,NRE,ACTIVE,2017-02-21,9279.72,GBP,1
ACCT100000154,CUST0001051,SAVINGS,ACTIVE,2016-09-20,39213.3,USD,1
ACCT100000155,CUST0007878,NRO,ACTIVE,2021-03-22,89941.4,INR,1
ACCT100000156,CUST0001014,NRO,ACTIVE,2018-10-14,223896.53,INR,2
ACCT100000157,CUST0003954,NRE,ACTIVE,2014-07-11,224341.32,INR,1
ACCT100000158,CUST0000978,SALARY,ACTIVE,2020-02-28,15858.27,INR,1
ACCT100000159,CUST0005694,NRE,ACTIVE,2013-08-14,173047.36,USD,1
ACCT100000160,CUST0000698,SAVINGS,ACTIVE,2020-12-23,1225392.86,INR,1
ACCT100000161,CUST0000485,SAVINGS,ACTIVE,2015-02-11,35724.97,INR,2
ACCT100000162,CUST0005920,SAVINGS,ACTIVE,2015-04-12,1144.22,USD,1
ACCT100000163,CUST0000227,CURRENT,ACTIVE,2021-02-17,5072.74,INR,1
ACCT100000164,CUST0003246,SAVINGS,ACTIVE,2019-06-06,31094.24,INR,1
ACCT100000165,CUST0004371,NRO,ACTIVE,2017-04-13,41270.19,USD,1
ACCT100000166,CUST0005209,TRUST,DORMANT,2014-08-03,1624449.45,SGD,2
ACCT100000167,CUST0000777,NRE,ACTIVE,2012-02-28,263481.44,AED,1
ACCT100000168,CUST0007296,CURRENT,ACTIVE,2018-02-16,85690.56,INR,2
ACCT100000169,CUST0001985,SAVINGS,DORMANT,2020-07-11,4081.52,INR,2
ACCT100000170,CUST0004742, NRO ,DORMANT,2014-08-20,230568.32,INR,1
ACCT100000171,CUST0003666,NRE,ACTIVE,2013-02-11,210176.12,INR,2
ACCT100000172,CUST0003580,SAVINGS,ACTIVE,2020-09-28,3984.45,INR,1
ACCT100000173,CUST0001189,SAVINGS,ACTIVE,2021-05-20,4008.54,USD,1
ACCT100000174,CUST0007376,NRO,ACTIVE,2012-06-24,1167956.81,GBP,2
ACCT100000175,CUST0007115,NRE,ACTIVE,2016-10-30,380553.54,INR,1
ACCT100000176,CUST0005714,trust,ACTIVE,2020-03-29,182917.36,INR,1
ACCT100000177,CUST0005677,CURRENT,ACTIVE,2017-09-25,21476.9,GBP,1
ACCT100000178,CUST0003323,SALARY,ACTIVE,2016-01-16,11542.64,INR,1
ACCT100000179,CUST0007446,NRO,ACTIVE,2021-06-16,150128.97,INR,1
ACCT100000180,CUST0007149,CURRENT,ACTIVE,2016-11-04,6449.64,INR,2
ACCT100000181,CUST0002125,CURRENT,ACTIVE,2021-01-27,40381.14,INR,1
ACCT100000182,CUST0003627,CURRENT,BLOCKED,2021-02-16,2252.76,AED,1
ACCT100000183,CUST0006829,SAVINGS,ACTIVE,2012-08-18,15644.26,INR,1
ACCT100000184,CUST0005961,NRE,ACTIVE,2020-06-16,1444371.88,INR,1
ACCT100000185,CUST0006711,TRUST,DORMANT,2018-12-19,46106.7,USD,2
ACCT100000186,CUST0007137,CURRENT,ACTIVE,2020-03-09,39480.26,USD,1
ACCT100000187,CUST0007366,SALARY,ACTIVE,2019-08-06,8203.07,GBP,1
ACCT100000188,CUST0007133,CURRENT,DORMANT,2014-10-30,9017.55,INR,1
ACCT100000189,CUST0003679,CURRENT,ACTIVE,2016-04-13,24682.36,INR,3
ACCT100000190,CUST0003106,SAVINGS,ACTIVE,2019-05-05,2236.77,INR,1
ACCT100000191,CUST0003436,CURRENT,ACTIVE,2018-05-20,11404.09,INR,1
ACCT100000192,CUST0002414,SAVINGS,ACTIVE,2018-06-23,20751.19,INR,1
ACCT100000193,CUST0001595,SALARY,CLOSED,2014-07-19,20316.91,USD,1
ACCT100000194,CUST0005586,CURRENT,ACTIVE,2013-11-05,29717.83,USD,1
ACCT100000195,CUST0001278,SALARY,ACTIVE,2014-08-28,85051.58,AED,2
ACCT100000196,CUST0002796,SALARY,ACTIVE,2015-05-09,34044.65,INR,1
ACCT100000197,CUST0001235,NRO,DORMANT,2020-02-04,1864220.85,INR,2
ACCT100000198,CUST0003256,SAVINGS,ACTIVE,2016-07-10,13589.87,INR,1
ACCT100000199,CUST0004151,NRE,ACTIVE,2020-07-15,33658.52,USD,1
ACCT100000200,CUST0002128,TRUST,DORMANT,2017-06-20,244565.2,GBP,2
ACCT100000201,CUST0007380,SALARY,ACTIVE,2020-01-23,233681.27,INR,1
ACCT100000202,CUST0004302,SAVINGS,ACTIVE,2018-07-03,3608.46,AED,1
ACCT100000203,CUST0007859,NRO,DORMANT,2013-05-25,348175.46,INR,3
ACCT100000204,CUST0001322,NRE,CLOSED,2018-03-13,34653.33,INR,1
ACCT100000205,CUST0002756,NRO,DORMANT,2016-10-21,56221.43,INR,1
ACCT100000206,CUST0005776,CURRENT,ACTIVE,2015-03-12,22990.33,AED,1
ACCT100000207,CUST0000152,NRE,ACTIVE,2013-04-06,41001.76,USD,1
ACCT100000208,CUST0005921,SAVINGS,ACTIVE,2012-04-21,52271.55,AED,1
ACCT100000209,CUST0005922,SALARY,ACTIVE,2012-05-20,98472.12,AED,2
ACCT100000210,CUST0007373,SALARY,BLOCKED,2015-09-21,43984.2,INR,1
ACCT100000211,CUST0003114,NRO,ACTIVE,2013-11-15,101367.4,INR,2
ACCT100000212,CUST0001618,NRO,ACTIVE,2015-08-21,10473.43,INR,1
ACCT100000213,CUST0003417,SALARY,ACTIVE,2020-05-24,13806.58,INR,1
ACCT100000214,CUST0001120,SAVINGS,ACTIVE,2020-05-21,41474.08,USD,1
ACCT100000215,CUST0006433,nre,ACTIVE,2013-12-22,141416.96,GBP,1
ACCT100000216,CUST0004582,SALARY,ACTIVE,2013-01-08,83319.45,INR,2
ACCT100000217,CUST0007132,NRE,ACTIVE,2019-05-30,120855.59,SGD,2
ACCT100000218,CUST0007460,TRUST,ACTIVE,2020-12-02,132106.38,AED,2
ACCT100000219,CUST0004333,CURRENT,ACTIVE,2018-11-26,214079.36,INR,1
ACCT100000220,CUST0001385,SALARY,ACTIVE,2015-03-02,41698.52,INR,1
ACCT100000221,CUST0006822,SHELL,ACTIVE,2015-10-09,6143146.35,SGD,3
ACCT100000222,CUST0002937,SAVINGS,ACTIVE,2017-11-25,35544.35,INR,1
ACCT100000223,CUST0001666,NRE,ACTIVE,2014-09-05,48554.14,GBP,2
ACCT100000224,CUST0003202,SAVINGS,ACTIVE,2015-01-03,333.0,USD,1
ACCT100000225,CUST0002358,SAVINGS,ACTIVE,2012-01-31,1225.07,USD,2
ACCT100000226,CUST0002573,NRE,ACTIVE,2020-02-07,67935.33,INR,2
ACCT100000227,CUST0000010,TRUST,ACTIVE,2021-06-13,2374471.18,INR,1
ACCT100000228,CUST0003570,SAVINGS,ACTIVE,2021-03-03,101748.85,INR,3
ACCT100000229,CUST0007236,NRE,BLOCKED,2018-01-24,88500.59,AED,2
ACCT100000230,CUST0003485,SALARY,DORMANT,2013-01-27,38499.64,USD,2
ACCT100000231,CUST0007668,SALARY,ACTIVE,2014-12-15,1442.02,INR,1
ACCT100000232,CUST0004878,CURRENT,ACTIVE,2020-11-22,313436.01,USD,1
ACCT100000233,CUST0004773,CURRENT,ACTIVE,2014-02-16,31963.71,INR,2
ACCT100000234,CUST0004703,CURRENT,ACTIVE,2020-01-30,128568.42,INR,1
ACCT100000235,CUST0005036,CURRENT,ACTIVE,2012-06-17,109152.8,USD,1
ACCT100000236,CUST0003996,TRUST,DORMANT,2016-01-08,652396.48,INR,1
ACCT100000237,CUST0000615,NRE,ACTIVE,2021-02-01,26822.75,USD,1
ACCT100000238,CUST0005469,CURRENT,ACTIVE,2013-10-27,20186.61,USD,1
ACCT100000239,CUST0006730,SALARY,ACTIVE,2018-06-26,55276.14,INR,2
ACCT100000240,CUST0001819,SALARY,ACTIVE,2015-09-03,24335.17,INR,1
ACCT100000241,CUST0003263,NRE,ACTIVE,2013-12-06,32075.24,GBP,2
ACCT100000242,CUST0000001,SAVINGS,BLOCKED,2016-04-13,28538.26,INR,1
ACCT100000243,CUST0000629,SALARY,CLOSED,2019-10-07,2365.21,INR,3
ACCT100000244,CUST0004327,SAVINGS,ACTIVE,2020-07-20,2434.6,INR,2
ACCT100000245,CUST0000515, SAVINGS ,ACTIVE,2015-12-12,6399.1,AED,3
ACCT100000246,CUST0007180,SALARY,ACTIVE,2020-07-18,9834.22,USD,3
ACCT100000247,CUST0002750,NRO,CLOSED,2019-12-08,16046.7,INR,1
ACCT100000248,CUST0003098,CURRENT,ACTIVE,2021-10-02,185465.01,USD,2
ACCT100000249,CUST0007772,CURRENT,ACTIVE,2020-05-23,16803.5,USD,1
ACCT100000250,CUST0000765,NRE,ACTIVE,2019-05-05,154700.21,INR,1
ACCT100000251,CUST0005523,SAVINGS,ACTIVE,2015-03-04,31796.59,INR,1
ACCT100000252,CUST0004600,SALARY,ACTIVE,2018-10-25,181228.54,INR,1
ACCT100000253,CUST0006068,SAVINGS,DORMANT,2013-08-08,39533.26,INR,2
ACCT100000254,CUST0001634,SAVINGS,BLOCKED,2020-06-30,10279.82,AED,1
ACCT100000255,CUST0000662,SALARY,ACTIVE,2012-12-11,2585.84,USD,1
ACCT100000256,CUST0005029,CURRENT,ACTIVE,2014-07-12,7447.07,INR,1
ACCT100000257,CUST0007967,SAVINGS,ACTIVE,2021-08-27,3723.06,INR,2
ACCT100000258,CUST0005095,CURRENT,ACTIVE,2012-12-30,38916.61,INR,2
ACCT100000259,CUST0003869,NRE,DORMANT,2012-09-12,990548.75,INR,1
ACCT100000260,CUST0000284,CURRENT,ACTIVE,2018-03-21,40148.53,INR,1
ACCT100000261,CUST0004082,CURRENT,ACTIVE,2013-07-16,21018.83,USD,1
ACCT100000262,CUST0006693,SAVINGS,ACTIVE,2019-05-12,19261.17,INR,2
ACCT100000263,CUST0001589,CURRENT,ACTIVE,2013-06-15,577124.62,AED,1
ACCT100000264,CUST0001468,SAVINGS,ACTIVE,2016-01-16,5232.02,INR,1
ACCT100000265,CUST0000707,NRE,ACTIVE,2013-05-02,322728.03,GBP,1
ACCT100000266,CUST0002296,SAVINGS,ACTIVE,2021-05-05,9421.41,SGD,1
ACCT100000267,CUST0000343,NRO,ACTIVE,2013-06-17,131673.56,USD,1
ACCT100000268,CUST0001753,CURRENT,DORMANT,2019-06-08,126934.76,USD,2
ACCT100000269,CUST0002810,NRE,ACTIVE,2016-02-04,1275060.1,GBP,1
ACCT100000270,CUST0003566,CURRENT,ACTIVE,2014-04-23,44818.82,INR,1
ACCT100000271,CUST0002518,SAVINGS,ACTIVE,2014-07-30,88946.45,INR,1
ACCT100000272,CUST0006053,CURRENT,ACTIVE,2021-03-17,89441.88,INR,1
ACCT100000273,CUST0003621,SAVINGS,ACTIVE,2015-08-19,2321.95,INR,1
ACCT100000274,CUST0002223,CURRENT,ACTIVE,2018-08-17,36305.31,AED,1
ACCT100000275,CUST0003725,CURRENT,ACTIVE,2012-03-29,1591309.27,INR,1
ACCT100000276,CUST0000939,CURRENT,ACTIVE,2012-01-13,41024.57,INR,1
ACCT100000277,CUST0004566,CURRENT,ACTIVE,2020-04-02,30376.36,GBP,1
ACCT100000278,CUST0007089,SAVINGS,ACTIVE,2016-08-17,10087.47,INR,1
ACCT100000279,CUST0000876,SAVINGS,ACTIVE,2013-08-29,8074.9,GBP,1
ACCT100000280,CUST0001367,SALARY,ACTIVE,2020-10-23,1441.81,USD,2
ACCT100000281,CUST0002594,NRE,ACTIVE,2016-02-02,5167.91,INR,1
ACCT100000282,CUST0006483,SAVINGS,ACTIVE,2014-03-19,5087.11,USD,1
ACCT100000283,CUST0006549,SAVINGS,ACTIVE,2012-02-05,9581.41,SGD,1
ACCT100000284,CUST0005614,CURRENT,ACTIVE,2019-06-14,111218.52,INR,1
ACCT100000285,CUST0003016,SHELL,ACTIVE,2020-09-05,372750.81,USD,1
ACCT100000286,CUST0007486, SALARY ,CLOSED,2020-03-03,13742.64,INR,1
ACCT100000287,CUST0000446,NRE,ACTIVE,2019-03-26,27574.63,AED,2
ACCT100000288,CUST0000969,NRO,ACTIVE,2021-09-23,7438.45,INR,1
ACCT100000289,CUST0001049,SALARY,DORMANT,2016-12-10,19141.63,INR,3
ACCT100000290,CUST0003377,CURRENT,ACTIVE,2016-12-27,129305.55,SGD,1
ACCT100000291,CUST0003852, NRE ,ACTIVE,2018-11-25,708140.2,AED,3
ACCT100000292,CUST0005650,CURRENT,ACTIVE,2017-10-04,296531.83,INR,1
ACCT100000293,CUST0000037,SHELL,ACTIVE,2013-01-17,4692689.62,INR,1
ACCT100000294,CUST0000027,CURRENT,ACTIVE,2019-02-26,136506.92,USD,1
ACCT100000295,CUST0002579,TRUST,BLOCKED,2020-12-01,137946.59,INR,3
ACCT100000296,CUST0003110,NRE,ACTIVE,2018-06-22,248135.81,USD,1
ACCT100000297,CUST0002739,SAVINGS,ACTIVE,2019-01-27,10017.98,AED,1
ACCT100000298,CUST0006323,SAVINGS,ACTIVE,2017-07-16,11497.89,AED,1
ACCT100000299,CUST0005565,CURRENT,ACTIVE,2012-12-29,87644.7,INR,1
ACCT100000300,CUST0004346,CURRENT,ACTIVE,2015-02-04,325175.38,INR,1
ACCT100000301,CUST0001605,SAVINGS,DORMANT,2020-08-23,50798.49,GBP,1
ACCT100000302,CUST0002335,NRO,ACTIVE,2018-03-04,96204.0,USD,1
ACCT100000303,CUST0000239,SAVINGS,ACTIVE,2016-07-09,18817.8,AED,1
ACCT100000304,CUST0003851,NRE,ACTIVE,2017-08-10,278676.92,USD,1
ACCT100000305,CUST0001482,CURRENT,ACTIVE,2018-10-04,285163.69,SGD,3
ACCT100000306,CUST0001932,SALARY,DORMANT,2012-12-14,183956.83,USD,2
ACCT100000307,CUST0005319,CURRENT,ACTIVE,2014-01-19,59176.86,USD,3
ACCT100000308,CUST0002663,TRUST,ACTIVE,2017-08-17,239257.54,USD,1
ACCT100000309,CUST0001784,CURRENT,ACTIVE,2017-02-18,61703.42,INR,1
ACCT100000310,CUST0004578,CURRENT,BLOCKED,2017-10-13,228818.73,INR,1
