account_id,customer_id,account_type,account_currency,account_open_date,account_status,account_balance_current,avg_balance_30d,avg_balance_90d,account_age_days,account_freeze_flag,account_freeze_reason_code,account_reactivation_date,account_limit_current,upi_vpa_id,upi_linked_account_count,upi_device_binding_count,upi_primary_device_id,last_activity_date,customer_customer_type,customer_customer_segment,customer_customer_risk_rating,customer_customer_status,customer_customer_open_date,customer_customer_last_kyc_update_date,customer_customer_kyc_status,customer_customer_name,customer_customer_gender,customer_customer_date_of_birth,txn_count,txn_transaction_amount_mean,txn_transaction_amount_max,external_signal_count,external_signal_signal_type_nunique,device_signal_count,device_signal_device_id_nunique,device_signal_ip_address_nunique,mule_flag,mule_typology,txn_count_30d,total_credit_30d,total_debit_30d,rapid_outflow_count_30d,inflow_outflow_ratio_30d,round_amount_ratio_30d,cash_txn_ratio_30d,dormancy_break_flag,unique_counterparties_30d,counterparty_link_count,balance_retention_ratio,unique_devices_30d,avg_ip_risk_score,complaint_count_90d,if4_flag,connected_to_flagged_account_count,graph_degree,typology_available_flag,account_open_date_age_days,account_reactivation_date_age_days,last_activity_date_age_days,customer_customer_open_date_age_days,customer_customer_last_kyc_update_date_age_days,customer_customer_date_of_birth_age_days
ACC00000011,CUST0004769,SALARY,INR,2019-10-15,ACTIVE,15589.06,15727.52,14762.51,1994.0,0,NONE,missing,68804.03,acc00000011@upibank,1,1,DEV660497,2024-05-29,INDIVIDUAL,STUDENT,MEDIUM,ACTIVE,2021-12-13,2022-11-30,EXPIRED,Jagvi Tata,M,1988-01-25,41,36526.56731707317,100000.0,1.0,1.0,6,1,6,0,missing,41,0.0,0.0,41,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1962,0.0,305,838,851,7378
ACC00000012,CUST0005007,SALARY,INR,2015-11-24,ACTIVE,36946.55,34623.18,30585.79,3415.0,0,NONE,missing,49358.43,acc00000012@upibank,2,2,DEV241830,2024-08-12,INDIVIDUAL,HNI,MEDIUM,ACTIVE,2015-03-11,2016-12-22,COMPLETE,Ekani Shanker,M,1977-04-19,41,34208.59585365854,100000.0,1.0,1.0,4,1,4,0,missing,41,0.0,0.0,41,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3383,0.0,230,3307,3020,11311
ACC00000013,CUST0005314,SAVINGS,GBP,2016-02-10,ACTIVE,19220.35,15676.0,16381.88,3337.0,0,NONE,missing,76120.57,acc00000013@upibank,4,2,DEV797782,2024-06-04,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2017-08-14,2019-07-19,COMPLETE,Pallavi Pandya,F,1984-10-20,49,31749.09857142857,100000.0,1.0,1.0,7,1,7,0,missing,49,0.0,0.0,49,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3305,0.0,299,2420,2081,8570
ACC00000014,CUST0002259,WALLET,GBP,2017-02-08,ACTIVE,20598.58,22177.83,17916.85,2973.0,0,NONE,missing,22449.51,missing,4,2,DEV977491,2024-08-15,INDIVIDUAL,RETAIL,LOW,ACTIVE,2019-07-11,2023-03-17,COMPLETE,Krisha Ganesh,F,1986-02-18,53,37740.46452830188,100000.0,1.0,1.0,7,1,7,0,missing,53,0.0,0.0,53,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,2941,0.0,227,1724,744,8084
ACC00000015,CUST0001613,CURRENT,USD,2021-06-30,ACTIVE,14004.53,12128.14,9843.87,1370.0,0,NONE,missing,60431.27,missing,3,1,DEV831543,2024-12-08,INDIVIDUAL,STUDENT,LOW,ACTIVE,2018-02-14,2021-09-25,COMPLETE,Advika Chopra,F,2007-01-19,51,37825.5094117647,100000.0,1.0,1.0,6,1,6,0,missing,51,0.0,0.0,51,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1338,0.0,112,2236,1282,444
ACC00000016,CUST0006665,SAVINGS,INR,2020-06-25,ACTIVE,110616.53,119608.63,103703.11,1740.0,0,NONE,missing,428568.8,acc00000016@upibank,4,1,DEV873674,2024-12-08,INDIVIDUAL,RETAIL,HIGH,ACTIVE,2023-01-06,2024-12-03,COMPLETE,Gunbir Ratta,M,1968-07-04,48,46743.61604166666,100000.0,1.0,1.0,7,1,7,0,missing,48,0.0,0.0,48,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1708,0.0,112,449,117,14522
ACC00000017,CUST0004594,CURRENT,INR,2022-03-31,ACTIVE,9140.67,7738.51,6854.98,1096.0,0,NONE,missing,21447.45,acc00000017@upibank,4,1,DEV198911,2025-02-04,INDIVIDUAL,RETAIL,LOW,ACTIVE,2014-01-25,2018-01-16,COMPLETE,Zashil Chandran,F,1989-05-31,52,39679.550192307695,100000.0,1.0,1.0,2,1,2,0,missing,52,0.0,0.0,52,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1064,0.0,54,3717,2630,6886
ACC00000018,CUST0001639,CURRENT,INR,2015-08-20,ACTIVE,9060.88,9292.4,8678.41,3511.0,0,NONE,missing,32273.65,acc00000018@upibank,2,1,DEV204730,2024-04-27,INDIVIDUAL,RETAIL,LOW,INACTIVE,2022-10-18,2024-02-05,COMPLETE,Ojasvi Dani,F,1991-06-28,43,31587.57279069768,100000.0,1.0,1.0,2,1,2,0,missing,43,0.0,0.0,43,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3479,0.0,337,529,419,6128
ACC00000019,CUST0007972,SAVINGS,INR,2020-02-01,ACTIVE,280742.25,259665.04,207180.37,1885.0,0,NONE,missing,1061396.06,acc00000019@upibank,3,2,DEV761897,2024-05-07,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2017-01-01,2018-04-28,COMPLETE,Vivaan Ramakrishnan,M,1991-04-05,48,25289.569328665686,100000.0,1.0,1.0,2,1,2,0,missing,48,0.0,0.0,48,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1853,0.0,327,2645,2528,6212
ACC00000020,CUST0003453,SAVINGS,INR,2018-04-20,ACTIVE,71212.03,60192.26,67720.92,2537.0,0,NONE,missing,111287.66,acc00000020@upibank,4,2,DEV100788,2024-05-29,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2024-03-04,2024-10-09,COMPLETE,Chasmum Choudhry,M,1976-05-06,42,44179.66785714286,100000.0,1.0,1.0,6,1,6,0,missing,42,0.0,0.0,42,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,2505,0.0,305,26,172,11659
ACC00000021,CUST0006798,SAVINGS,INR,2020-12-17,ACTIVE,1258.74,1324.25,1234.9,1565.0,0,NONE,missing,5470.7,acc00000021@upibank,4,1,DEV381025,2024-11-22,INDIVIDUAL,NRI,HIGH,INACTIVE,2017-07-16,2022-04-04,COMPLETE,Champak Lala,F,1989-10-27,51,41864.51901960785,100000.0,1.0,1.0,3,1,3,0,missing,51,0.0,0.0,51,0.0,1,0.0,1,0,0,1.0,1,0,1.0,0,0,0,0,1533,0.0,128,2449,1091,6737
ACC00000022,CUST0004234,SALARY,INR,2017-06-07,ACTIVE,11177.85,10929.13,10987.81,2854.0,0,NONE,missing,37105.93,acc00000022@upibank,1,2,DEV595647,2025-02-24,INDIVIDUAL,HNI,MEDIUM,ACTIVE,2020-06-04,2023-11-23,COMPLETE,Dayamai Lanka,M,1966-06-04,57,39649.90947368421,100000.0,1.0,1.0,6,1,6,0,missing,57,0.0,0.0,57,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,2822,0.0,34,1395,493,15283
ACC00000023,CUST0000538,SAVINGS,INR,2016-05-04,ACTIVE,2503.92,2082.0,1812.4,3253.0,0,NONE,missing,4509.79,acc00000023@upibank,1,2,DEV473744,2024-08-05,INDIVIDUAL,RETAIL,HIGH,ACTIVE,2016-08-29,2018-07-03,PARTIAL,Vasatika Prabhu,F,1997-07-02,51,27905.32549019608,100000.0,1.0,1.0,4,1,4,0,missing,51,0.0,0.0,51,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3221,0.0,237,2770,2462,3932
ACC00000024,CUST0006042,NRO,EUR,2018-01-01,ACTIVE,7038.65,6767.58,5485.64,2646.0,0,NONE,missing,13989.74,acc00000024@upibank,3,2,DEV320264,2024-10-05,INDIVIDUAL,RETAIL,LOW,ACTIVE,2015-05-31,2018-10-22,COMPLETE,Triveni Pau,M,1979-07-08,54,49412.58222222222,100000.0,1.0,1.0,4,1,4,0,missing,54,0.0,0.0,54,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,2614,0.0,176,3226,2351,10501
ACC00000025,CUST0007296,NRO,INR,2020-04-19,ACTIVE,509.68,471.51,481.33,1807.0,0,NONE,missing,1129.6782000000003,missing,1,1,DEV947300,2025-02-07,INDIVIDUAL,HNI,MEDIUM,ACTIVE,2012-07-17,2021-02-22,COMPLETE,Isaac Sane,M,1997-10-17,52,37882.41269230769,100000.0,1.0,1.0,6,1,6,0,missing,52,0.0,0.0,52,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1775,0.0,51,4274,1497,3825
ACC00000026,CUST0007016,CURRENT,INR,2022-02-16,ACTIVE,18687.54,18197.97,18133.49,1139.0,0,NONE,missing,34346.99,acc00000026@upibank,1,1,DEV898569,2024-10-26,INDIVIDUAL,RETAIL,LOW,INACTIVE,2014-07-23,2019-02-08,COMPLETE,Widisha Gupta,OTHER,1988-09-19,53,48102.518867924526,100000.0,1.0,1.0,2,1,2,0,missing,53,0.0,0.0,53,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1107,0.0,155,3538,2242,7140
ACC00000027,CUST0000419,OD,INR,2020-08-08,ACTIVE,5595.23,4681.54,4876.49,1696.0,0,NONE,missing,16295.81,acc00000027@upibank,2,1,DEV910070,2025-02-17,INDIVIDUAL,RETAIL,MEDIUM,INACTIVE,2022-02-25,2022-06-13,COMPLETE,Barkha Misra,F,2001-11-03,46,37671.50956521739,100000.0,1.0,1.0,2,1,2,0,missing,46,0.0,0.0,46,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1664,0.0,41,764,1021,2347
ACC00000028,CUST0000957,WALLET,USD,2015-01-24,ACTIVE,23668.17,25068.08,21503.21,3711.01,0,NONE,missing,48755.51,acc00000028@upibank,3,1,DEV174974,2025-03-25,INDIVIDUAL,STUDENT,LOW,ACTIVE,2023-06-14,2025-03-30,EXPIRED,Yochana Parmar,F,1976-06-10,50,38604.8186,100000.0,1.0,1.0,7,1,7,0,missing,50,0.0,0.0,50,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3687,0.0,5,290,0,11624
ACC00000029,CUST0001294,NRE,INR,2019-06-29,ACTIVE,3133.34,2949.2,2737.05,2102.0,0,NONE,missing,7613.95,acc00000029@upibank,1,1,DEV481033,2024-12-24,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2020-06-14,2022-12-15,COMPLETE,Warjas Cheema,M,1967-02-08,49,48460.70836734694,100000.0,1.0,1.0,7,1,7,0,missing,49,0.0,0.0,49,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,2070,0.0,96,1385,836,15034
ACC00000030,CUST0000358,SAVINGS,INR,2019-01-15,ACTIVE,24330.7,25529.56,23437.46,2267.0,0,NONE,missing,86833.95,acc00000030@upibank,1,2,DEV530067,2025-02-16,INDIVIDUAL,NRI,LOW,ACTIVE,2020-10-03,2022-09-16,COMPLETE,Zinal Sachar,F,2002-12-16,36,30915.003611111108,100000.0,1.0,1.0,4,1,4,0,missing,36,0.0,0.0,36,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,2235,0.0,42,1274,926,1939
ACC00000031,CUST0002083,CURRENT,INR,2015-01-02,FROZEN,13387.82,13650.49,12100.84,3711.01,1,COURT_ORDER,2024-08-20,36363.64,acc00000031@upibank,1,1,DEV555683,2024-08-10,BUSINESS,SME,LOW,ACTIVE,2010-07-21,2015-03-30,COMPLETE,Ryan Rattan,OTHER,1967-03-05,49,41770.911428571424,100000.0,1.0,1.0,7,1,7,0,missing,49,0.0,0.0,49,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3709,222.0,232,5001,3653,15009
ACC00000032,CUST0002935,SAVINGS,INR,2020-09-15,ACTIVE,133565.0,141539.21,129808.34,1658.0,0,NONE,missing,488739.9,acc00000032@upibank,4,2,DEV808663,2025-03-29,INDIVIDUAL,HNI,LOW,ACTIVE,2019-01-21,2020-10-07,EXPIRED,Anusha Yadav,M,1997-01-06,41,36982.32780487805,100000.0,1.0,1.0,7,1,7,0,missing,41,0.0,0.0,41,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1626,0.0,1,1895,1635,4109
ACC00000033,CUST0005358,SALARY,INR,2022-04-04,ACTIVE,119805.9,104980.56,95054.76,1092.0,0,NONE,missing,364279.63,acc00000033@upibank,1,2,DEV820939,2024-05-28,INDIVIDUAL,RETAIL,LOW,ACTIVE,2023-02-26,2023-12-28,COMPLETE,Yasti Sachdeva,F,1962-01-04,46,38692.15847826087,100000.0,1.0,1.0,4,1,4,0,missing,46,0.0,0.0,46,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1060,0.0,306,398,458,16895
ACC00000034,CUST0002399,CURRENT,INR,2017-07-19,ACTIVE,56523.67,60708.01,52319.73,2812.0,0,NONE,missing,120017.93,acc00000034@upibank,3,2,DEV909669,2024-12-02,INDIVIDUAL,HNI,LOW,ACTIVE,2011-06-12,2016-07-02,COMPLETE,Sai Kara,M,2004-01-19,44,37462.545909090906,100000.0,1.0,1.0,2,1,2,0,missing,44,0.0,0.0,44,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,2780,0.0,118,4675,3193,1540
ACC00000035,CUST0001204,SAVINGS,INR,2023-02-01,ACTIVE,14884.32,13800.7,10627.96,789.0,0,NONE,missing,36185.01,acc00000035@upibank,3,2,DEV167381,2024-08-30,INDIVIDUAL,RETAIL,HIGH,ACTIVE,2011-03-08,2024-03-16,COMPLETE,Gautami Garde,M,1994-03-15,47,34106.29787234042,100000.0,1.0,1.0,5,1,5,0,missing,47,0.0,0.0,47,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,757,0.0,212,4771,379,5137
ACC00000036,CUST0007913,CURRENT,EUR,2021-11-06,ACTIVE,238579.17,260238.75,187489.71,1241.0,0,NONE,missing,1033001.57,acc00000036@upibank,4,1,DEV840622,2025-01-02,INDIVIDUAL,RETAIL,LOW,ACTIVE,2010-03-15,2023-11-12,EXPIRED,Vivaan Rama,F,1964-05-21,33,43889.835333333336,100000.0,1.0,1.0,6,1,6,0,missing,33,0.0,0.0,33,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1209,0.0,87,5129,504,16027
ACC00000037,CUST0005045,CURRENT,INR,2021-01-10,ACTIVE,3416.45,3014.01,2931.74,1541.0,0,NONE,missing,15743.53,acc00000037@upibank,4,2,DEV123507,2024-09-16,INDIVIDUAL,RETAIL,LOW,ACTIVE,2019-08-21,2021-09-03,PARTIAL,Guneet Mann,F,1993-10-05,61,49814.08540983607,100000.0,1.0,1.0,2,1,2,0,missing,61,0.0,0.0,61,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1509,0.0,195,1683,1304,5298
ACC00000038,CUST0003976,CURRENT,INR,2022-08-16,ACTIVE,4087.67,4210.89,4000.84,958.0,0,NONE,missing,18961.64,acc00000038@upibank,2,1,DEV788167,2024-04-01,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2021-05-11,2023-06-01,COMPLETE,Gautami Morar,M,2001-05-23,50,43491.6232,100000.0,1.0,1.0,3,1,3,0,missing,50,0.0,0.0,50,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,926,0.0,363,1054,668,2511
ACC00000039,CUST0007978,WALLET,INR,2024-05-26,ACTIVE,967.12,637.29,517.79,309.0,0,NONE,missing,4087.48,acc00000039@upibank,1,4,DEV308208,2025-03-23,INDIVIDUAL,RETAIL,LOW,ACTIVE,2023-09-24,2024-09-08,COMPLETE,Daksha Buch,F,1976-12-18,392,66759.80704081632,200000.0,2.0,2.0,15,2,15,1,layering_mule,392,0.0,0.0,392,0.0,1,0.0,1,0,0,1.0,2,0,2.0,0,0,0,1,277,0.0,7,188,203,11433
ACC00000040,CUST0003398,SAVINGS,INR,2023-11-17,ACTIVE,32243.03,21592.81,23415.23,500.0,0,NONE,missing,119230.54,acc00000040@upibank,4,3,DEV336649,2025-03-22,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2014-11-11,2019-09-24,COMPLETE,Rushil Pillai,F,1992-05-14,395,64962.88458049887,200000.0,1.0,1.0,13,2,13,1,layering_mule,395,0.0,0.0,395,0.0,1,0.0,1,0,0,1.0,2,0,0.0,0,0,0,1,468,0.0,8,3427,2014,5807
ACC00000041,CUST0000443,NRO,INR,2024-08-22,ACTIVE,809.56,824.45,345.59,221.0,0,NONE,missing,3318.32,acc00000041@upibank,1,4,DEV304018,2024-11-10,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2021-08-21,2024-03-28,COMPLETE,Bina Parsa,F,2001-04-27,366,68530.84073770492,200000.0,1.0,1.0,8,3,8,1,layering_mule,366,0.0,0.0,366,0.0,1,0.0,1,0,0,1.0,3,0,1.0,0,0,0,1,189,0.0,140,952,367,2537
ACC00000042,CUST0005210,SALARY,INR,2016-10-07,ACTIVE,17678.52,17793.4,15153.9,3097.0,0,NONE,missing,25140.22,acc00000042@upibank,3,1,DEV797176,2024-09-21,INDIVIDUAL,NRI,LOW,ACTIVE,2013-01-21,2019-01-29,COMPLETE,Chatura Kannan,F,1984-10-05,45,46310.031777777775,100000.0,1.0,1.0,2,1,2,0,missing,45,0.0,0.0,45,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3065,0.0,190,4086,2252,8585
ACC00000043,CUST0007908,SAVINGS,INR,2020-11-02,FROZEN,3903.81,3394.3,3841.47,1610.0,1,FRAUD_SUSPECTED,2024-12-10,19182.21,missing,1,1,DEV352196,2024-09-29,INDIVIDUAL,RETAIL,LOW,ACTIVE,2011-05-29,2021-08-03,COMPLETE,Balvan Bhakta,M,1968-06-12,53,33193.62943396227,100000.0,1.0,1.0,6,1,6,0,missing,53,0.0,0.0,53,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1578,110.0,182,4689,1335,14544
ACC00000044,CUST0006414,SALARY,INR,2016-11-21,ACTIVE,68536.07,60494.25,64215.6,3052.0,0,NONE,missing,134534.55,acc00000044@upibank,4,2,DEV892402,2024-06-17,INDIVIDUAL,RETAIL,LOW,INACTIVE,2016-11-26,2017-08-14,COMPLETE,Samuel Kannan,M,1964-04-15,42,42793.10547619048,100000.0,1.0,1.0,1,1,1,0,missing,42,0.0,0.0,42,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3020,0.0,286,2681,2785,16063
ACC00000045,CUST0000127,CURRENT,INR,2021-04-24,ACTIVE,69134.66,73412.46,68134.1,1437.0,0,NONE,missing,121263.95,acc00000045@upibank,4,1,DEV511803,2025-01-08,INDIVIDUAL,RETAIL,MEDIUM,ACTIVE,2015-12-30,2024-11-28,COMPLETE,Nilima Dada,M,1964-10-11,53,32703.23037735849,100000.0,1.0,1.0,1,1,1,0,missing,53,0.0,0.0,53,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1405,0.0,81,3013,122,15884
ACC00000046,CUST0003102,SAVINGS,INR,2016-06-06,RESTRICTED,56777.21,55438.98,39972.34,3220.0,1,FRAUD_SUSPECTED,2024-10-17,202773.87,acc00000046@upibank,3,2,DEV243183,2024-08-19,INDIVIDUAL,NRI,LOW,ACTIVE,2010-05-14,2010-09-03,COMPLETE,Rachit Yogi,M,1996-09-20,45,40016.53133333333,100000.0,1.0,1.0,7,1,7,0,missing,45,0.0,0.0,45,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,3188,164.0,223,5069,5322,4217
ACC00000047,CUST0002769,NRE,INR,2022-05-19,ACTIVE,10352.0,9167.02,9818.71,1047.0,0,NONE,missing,20902.0,acc00000047@upibank,1,1,DEV667618,2024-07-11,INDIVIDUAL,RETAIL,LOW,ACTIVE,2024-02-15,2025-01-25,COMPLETE,Advay Kalita,F,1995-03-10,44,33552.52363636364,100000.0,1.0,1.0,1,1,1,0,missing,44,0.0,0.0,44,0.0,1,0.0,1,0,0,1.0,1,0,0.0,0,0,0,0,1015,0.0,262,44,64,4777
ACC00000048,CUST0003433,SAVINGS,INR,2022-04-21,ACTIVE,9432.83,10305.18,8590.5,1075.0,0,NONE,missing,45448.21,acc00000048@upibank,4,2,DEV581872,2024-10-21,INDIVIDUAL,RETAIL,LOW,ACTIVE,2010-04-29,2014-03-16,COMPLETE,Nandini Sachdeva,F,1969-06-23,51,46839.01470588235,100000.0,1.0,1.0,1,1,1,0,missing,51,0.0,0.0,51,0.0,1,0.0,1,0,0,1.0,1,0,1.0,0,0,0,0,1043,0.0,160,5084,4032,14168
